Status,Date,Title,Price,Price_units,Amount,Amount_units,Waste_type
Открыто,2021-10-19,Продам отходы ПП,22.0,₽/кг.,50000.0,т.,Пластик
Открыто,2021-10-19,ПРОДАМ ПЭТ ДРОБЛЕНКУ,60.0,₽/кг.,20000.0,кг.,Пластик
Открыто,2021-10-19,Продам БигБеги и мешки,33.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-10-19,Гранула ПВД ,110.0,₽/кг.,1.0,т.,Пластик
Открыто,2021-10-19,ПЭТ преформа белого цвета,45.0,₽/кг.,2000.0,кг.,Пластик
Открыто,2021-10-19,Пластик от оргтехники,5.0,₽/кг.,15000.0,кг.,Пластик
Открыто,2021-10-19,Регранулят полистирола,85000.0,₽/т.,2.0,т.,Пластик
Открыто,2021-10-19,Стреппинглента,4000.0,₽/т.,6.0,т.,Пластик
Открыто,2021-10-19,Отработанный вольфрамовый катализатор,100000.0,₽/т.,18600.0,кг.,Металлы
Открыто,2021-10-18,отход бегов,30.0,₽/кг.,1.0,т.,Пластик
Открыто,2021-10-18,Гранула Полипропилена,62.0,₽/кг.,2150.0,кг.,Пластик
Открыто,2021-10-18,Продам ящики пп прессованные,26.0,₽/кг.,40000.0,кг.,Пластик
Открыто,2021-10-18,"Пвх чистый , но с мелом ",30.0,₽/т.,40.0,т.,Пластик
Открыто,2021-10-18,Полистирол 4 тонны,46.0,₽/кг.,4000.0,кг.,Пластик
Открыто,2021-10-18,ПП четырехстропный бигбэг,1.0,₽/кг.,1.0,кг.,Пластик
Сделка закрыта,2021-10-10,Рассеиватели от ламп,1.0,₽/кг.,5.0,кг.,Пластик
Открыто,2021-10-09,Труба ПВХ и сайдинг панели,42.0,₽/кг.,5800.0,кг.,Пластик
Открыто,2021-10-09,Трубка пвх,20.0,₽/кг.,2300.0,кг.,Пластик
Открыто,2021-10-09,Пэт метализированый ,20.0,₽/кг.,1000.0,кг.,Пластик
Открыто,2021-10-09,Продам пробку,20.0,₽/кг.,50.0,т.,Пластик
Открыто,2021-10-08,Продам ПП мешки,15.0,₽/кг.,7.0,т.,Пластик
Открыто,2021-10-08,Микс ПВД магазинный сбор,40.0,₽/кг.,5.0,т.,Пластик
Открыто,2021-10-08,Продам ПП,13.0,₽/кг.,7.0,т.,Пластик
Открыто,2021-10-08,Продам Агрострэйч пленка,26.0,₽/кг.,40.0,т.,Пластик
Открыто,2021-10-08,Туалетная бумага,8.0,₽/шт.,10000.0,шт.,Макулатура
Открыто,2021-10-08,Лента капельного полива ПНД,39.0,₽/кг.,7.0,т.,Пластик
Открыто,2021-10-08,Коррексы ПС,48.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-08,Пвх трубы ,65.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-08,Пвд трубы ,45.0,₽/кг.,4.0,т.,Пластик
Открыто,2021-10-08,ПНД труба ,50.0,₽/кг.,6.0,т.,Пластик
Открыто,2021-10-08,Пвд чёрная полигон ,15.0,₽/кг.,60.0,т.,Пластик
Открыто,2021-10-08,Пэт ,44.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-07,ПВХ,60.0,₽/кг.,3500.0,кг.,Пластик
Открыто,2021-10-07,Продаю Картон,16.0,₽/кг.,20.0,т.,Макулатура
Открыто,2021-10-07,Отходы спандбонда,50.0,₽/кг.,5.0,т.,Пластик
Открыто,2021-10-17,Продам брак производства ,10.0,₽/т.,28.0,т.,Пластик
Открыто,2021-10-17,Продаю дробленку полипропилена.,40.0,₽/кг.,5.0,т.,Пластик
Открыто,2021-10-17,Продам Оргстекло,1.0,₽/т.,3.0,т.,Пластик
Открыто,2021-10-17,Продам отходы ПНД,51.0,₽/кг.,15.0,т.,Пластик
Открыто,2021-10-17,Продаëм на переработку брак ПП плëнки,51.0,₽/кг.,20.0,т.,Пластик
